Timestamp,Age,Gender,City,Country,Position ,Total years of experience,Years of experience in Germany,Seniority level,Your main technology / programming language,Other technologies/programming languages you use often,Yearly brutto salary (without bonus and stocks) in EUR, Yearly brutto salary (without bonus and stocks) in EUR1 ,, IUSD , Yearly brutto salary ,Yearly bonus + stocks in EUR,Annual brutto salary (without bonus and stocks) one year ago. Only answer if staying in the same country,Annual bonus+stocks one year ago. Only answer if staying in same country,Number of vacation days,Employment status,–°ontract duration,Main language at work,Company size,Company type,Have you lost your job due to the coronavirus outbreak?,"Have you been forced to have a shorter working week (Kurzarbeit)? If yes, how many hours per week","Have you received additional monetary support from your employer due to Work From Home? If yes, how much in 2020 in EUR",,,,,,,,,,,,,Your main technology , programming language,,,,
24-11-2020 11:20,27,Male,Berlin,Germany,Backend Developer,8,3,Senior,PHP,,60000," Ä 60,000.00 "," $63,798.00 ",,$60K-$70K ,,55000,,25,Full-time employee,Unlimited contract,English,1000+,Product,No,,,,,,,,,,,,,,,PHP,,,,,
24-11-2020 11:20,34,Male,Berlin,Germany,Mobile Developer,11,5,Lead,kotlin,"Kotlin, Javascript / Typescript, AWS, Google Cloud, Kubernetes, Docker",80000," Ä 80,000.00 "," $85,064.00 ",,$80K-$100K ,80000,75000,75000,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,,,,,,,,,,,,,,kotlin,,,,,
24-11-2020 11:21,34,Male,Berlin,Germany,DevOps,13,5,Senior,,,103000," Ä 1,03,000.00 "," $1,09,519.90 ",,$100K-$200K ,,90000,,30,Full-time employee,Unlimited contract,English,1000+,Product,,,,,,,,,,,,,,,,Python,,,,,
24-11-2020 11:21,34,Male,Berlin,Germany,Software Architect,15,9,Lead,NodeJS,"Javascript / Typescript, SQL, Go, AWS, Kubernetes, Docker, Terraform",100000," Ä 1,00,000.00 "," $1,06,330.00 ",,$100K-$200K ,,92000,7000,24,Full-time employee,Unlimited contract,English,1000+,Product,No,,,,,,,,,,,,,,,NodeJS,,,,,
24-11-2020 11:22,25,Male,Berlin,Germany,Software Engineer,5,2,Senior,Javascript,"Javascript / Typescript, AWS, Docker",65000," Ä 65,000.00 "," $69,114.50 ",,$60K-$70K ,,,,28,Full-time employee,Unlimited contract,German,1000+,Product,No,,,,,,,,,,,,,,,Javascript,,,,,
24-11-2020 11:23,59,Male,Berlin,Germany,Backend Developer,30,30,Senior,Java,"Kotlin, Java / Scala, SQL",69000," Ä 69,000.00 "," $73,367.70 ",,$70K-$80K ,,69000,2000,28,Full-time employee,Unlimited contract,German,101-1000,Product,No,0,,,,,,,,,,,,,,Java,,,,,
24-11-2020 11:23,36,Male,Berlin,Germany,Software Engineer,17,2,Lead,PHP,"Python, C/C++, Javascript / Typescript, SQL, Go, AWS, Docker",70000," Ä 70,000.00 "," $74,431.00 ",,$70K-$80K ,,65000,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,,,,,,,,,,,,,,PHP,,,,,
24-11-2020 11:25,38,Male,Berlin,Germany,Team Lead,18,4,Lead,iOS,"Swift, AWS",80000," Ä 80,000.00 "," $85,064.00 ",,$80K-$100K ,4000,80000,2000,28,Full-time employee,Unlimited contract,English,101-1000,Product,Yes,,,,,,,,,,,,,,,iOS,,,,,
24-11-2020 11:25,24,Male,Berlin,Germany,DevOps,6,3,Senior,Kubernetes,"Python, AWS, Google Cloud, Kubernetes, Docker",75000," Ä 75,000.00 "," $79,747.50 ",,$70K-$80K ,10000,63000,,27,Full-time employee,Unlimited contract,English,101-1000,Product,No,,,,,,,,,,,,,,,Kubernetes,,,,,
24-11-2020 11:25,37,Male,Berlin,Germany,Test manager,6,6,Middle,Charles,,47400," Ä 47,400.00 "," $50,400.42 ",,$50K-$60K ,1000,44000,1000,28,Full-time employee,Unlimited contract,German,1000+,Media,No,,,,,,,,,,,,,,,Charles,,,,,
